Date of Sale,Region,Product Type,Sales Channel,Customer Type,Sales Amount in US$,Units Sold,Marketing Spend in US$,Returning Customer,Total Revenue
2022-05-20,South America,ERP,Partner,Business,6511.0,13.0,1315.0,Yes,84643.0
2022-05-21,Asia,Antivirus,Direct Sales,Business,9301.0,3.0,726.0,No,27903.0
2022-05-22,South America,DevTools,Partner,Consumer,1621.0,12.0,1818.0,No,19452.0
2022-05-23,North America,DevTools,Direct Sales,Consumer,1882.0,8.0,561.0,No,15056.0
2022-05-24,South America,Antivirus,Online,Consumer,4393.0,13.0,1711.0,Yes,57109.0
2022-05-25,North America,Antivirus,Partner,Business,8088.0,16.0,1521.0,Yes,129408.0
2022-05-26,South America,DevTools,Online,Business,3010.0,7.0,1857.0,No,21070.0
2022-05-27,North America,ERP,Partner,Consumer,2614.0,4.0,1846.0,No,10456.0
2022-05-28,Europe,DevTools,Direct Sales,Business,6238.0,12.0,580.0,No,74856.0
2022-05-29,Australia,Antivirus,Direct Sales,Consumer,5403.0,17.0,1414.0,Yes,91851.0
2022-05-30,Asia,Database,Direct Sales,Consumer,696.0,1.0,687.0,Yes,696.0
2022-05-31,South America,CRM,Online,Consumer,907.0,17.0,618.0,Yes,15419.0
2022-06-01,Australia,Database,Partner,Consumer,6466.0,2.0,1172.0,Yes,12932.0
2022-06-02,Asia,Database,Online,Consumer,4705.0,6.0,646.0,Yes,28230.0
2022-06-03,Asia,Antivirus,Direct Sales,Consumer,9713.0,12.0,1592.0,Yes,116556.0
2022-06-04,North America,DevTools,Online,Business,6817.0,11.0,1953.0,Yes,74987.0
2022-06-05,Europe,ERP,Direct Sales,Business,200.0,11.0,1354.0,No,2200.0
2022-06-06,Europe,Database,Direct Sales,Consumer,4862.0,18.0,853.0,Yes,87516.0
2022-06-07,Australia,DevTools,Direct Sales,Consumer,4203.0,8.0,1765.0,No,33624.0
2022-06-08,Europe,ERP,Partner,Consumer,1156.0,7.0,1780.0,Yes,8092.0
2022-06-09,South America,Database,Partner,Business,9240.0,14.0,1599.0,No,129360.0
2022-06-10,Europe,ERP,Direct Sales,Consumer,8070.0,16.0,1423.0,Yes,129120.0
2022-06-11,Australia,DevTools,Online,Consumer,2378.0,12.0,1802.0,Yes,28536.0
2022-06-12,Europe,CRM,Online,Consumer,2634.0,9.0,745.0,Yes,23706.0
2022-06-13,South America,DevTools,Partner,Business,417.0,16.0,1897.0,No,6672.0
2022-06-14,North America,Antivirus,Direct Sales,Consumer,3038.0,19.0,1921.0,Yes,57722.0
2022-06-15,Australia,ERP,Online,Business,5888.0,16.0,1808.0,Yes,94208.0
2022-06-16,North America,CRM,Direct Sales,Business,4266.0,9.0,876.0,No,38394.0
2022-06-17,North America,ERP,Online,Consumer,9696.0,13.0,1787.0,Yes,126048.0
2022-06-18,North America,ERP,Partner,Business,655.0,5.0,1246.0,Yes,3275.0
2022-06-19,Asia,Database,Direct Sales,Business,5955.0,19.0,1392.0,No,113145.0
2022-06-20,Asia,Antivirus,Direct Sales,Business,8597.0,10.0,1761.0,Yes,85970.0
2022-06-21,North America,ERP,Online,Consumer,4859.0,7.0,544.0,No,34013.0
2022-06-22,Australia,DevTools,Online,Business,129.0,9.0,1044.0,No,1161.0
2022-06-23,South America,DevTools,Online,Consumer,2504.0,14.0,1724.0,No,35056.0
2022-06-24,South America,Database,Direct Sales,Consumer,3305.0,15.0,1721.0,Yes,49575.0
2022-06-25,Europe,Antivirus,Partner,Consumer,9663.0,13.0,1773.0,Yes,125619.0
2022-06-26,Australia,Antivirus,Partner,Business,9127.0,10.0,754.0,No,91270.0
2022-06-27,Asia,DevTools,Online,Consumer,9497.0,14.0,1559.0,No,132958.0
2022-06-28,North America,CRM,Partner,Business,8275.0,12.0,720.0,Yes,99300.0
2022-06-29,Europe,Database,Online,Business,3581.0,19.0,1678.0,Yes,68039.0
2022-06-30,South America,Database,Partner,Business,9068.0,6.0,868.0,Yes,54408.0
2022-07-01,Asia,DevTools,Direct Sales,Business,9819.0,12.0,1607.0,No,117828.0
2022-07-02,Asia,DevTools,Online,Consumer,3566.0,13.0,1183.0,Yes,46358.0
2022-07-03,North America,CRM,Partner,Consumer,2680.0,8.0,1979.0,No,21440.0
2022-07-04,South America,CRM,Direct Sales,Business,5514.0,16.0,1370.0,No,88224.0
2022-07-05,Australia,Antivirus,Partner,Consumer,1953.0,2.0,1449.0,Yes,3906.0
2022-07-06,Asia,Database,Direct Sales,Consumer,423.0,7.0,1052.0,Yes,2961.0
2022-07-07,North America,Database,Direct Sales,Consumer,9464.0,12.0,1602.0,No,113568.0
2022-07-08,Australia,DevTools,Partner,Business,9265.0,7.0,1242.0,No,64855.0
2022-07-09,South America,Antivirus,Partner,Consumer,1710.0,19.0,527.0,Yes,32490.0
2022-07-10,Asia,Database,Direct Sales,Business,4137.0,14.0,1413.0,No,57918.0
2022-07-11,Australia,Antivirus,Direct Sales,Consumer,8327.0,9.0,1746.0,Yes,74943.0
2022-07-12,Australia,Antivirus,Direct Sales,Business,6644.0,18.0,855.0,Yes,119592.0
2022-07-13,Australia,DevTools,Online,Business,4008.0,11.0,832.0,No,44088.0
2022-07-14,Asia,Antivirus,Direct Sales,Business,7467.0,16.0,1413.0,No,119472.0
2022-07-15,Asia,CRM,Online,Consumer,8981.0,19.0,1727.0,Yes,170639.0
2022-07-16,Europe,CRM,Direct Sales,Business,9269.0,11.0,874.0,No,101959.0
2022-07-17,South America,ERP,Online,Consumer,3851.0,18.0,1898.0,No,69318.0
2022-07-18,North America,DevTools,Direct Sales,Business,1818.0,11.0,1891.0,Yes,19998.0
2022-07-19,Australia,ERP,Direct Sales,Consumer,9137.0,4.0,801.0,No,36548.0
2022-07-20,Europe,CRM,Direct Sales,Business,1016.0,18.0,896.0,Yes,18288.0
2022-07-21,North America,ERP,Partner,Consumer,7245.0,19.0,1551.0,No,137655.0
2022-07-22,Europe,DevTools,Partner,Business,1491.0,13.0,1928.0,Yes,19383.0
2022-07-23,Asia,DevTools,Direct Sales,Business,3955.0,4.0,1565.0,No,15820.0
2022-07-24,Australia,Antivirus,Online,Business,4174.0,10.0,1167.0,No,41740.0
2022-07-25,North America,Database,Online,Consumer,1672.0,5.0,754.0,No,8360.0
2022-07-26,North America,Antivirus,Direct Sales,Business,9235.0,3.0,1192.0,No,27705.0
2022-07-27,North America,DevTools,Partner,Business,126.0,16.0,1410.0,No,2016.0
2022-07-28,North America,CRM,Online,Business,8949.0,8.0,996.0,No,71592.0
2022-07-29,North America,CRM,Partner,Business,8850.0,7.0,1265.0,No,61950.0
2022-07-30,Europe,Antivirus,Online,Consumer,3238.0,19.0,695.0,No,61522.0
2022-07-31,Australia,DevTools,Direct Sales,Business,7072.0,14.0,1178.0,Yes,99008.0
2022-08-01,Asia,CRM,Partner,Business,2603.0,15.0,636.0,No,39045.0
2022-08-02,Asia,DevTools,Online,Consumer,7612.0,17.0,574.0,No,129404.0
2022-08-03,Asia,CRM,Direct Sales,Consumer,5655.0,1.0,1786.0,No,5655.0
2022-08-04,Asia,DevTools,Direct Sales,Consumer,3072.0,6.0,808.0,No,18432.0
2022-08-05,Europe,ERP,Direct Sales,Business,4062.0,15.0,1363.0,No,60930.0
2022-08-06,South America,DevTools,Partner,Consumer,6930.0,12.0,723.0,Yes,83160.0
2022-08-07,Australia,DevTools,Partner,Consumer,9070.0,2.0,894.0,Yes,18140.0
2022-08-08,North America,Antivirus,Direct Sales,Consumer,1394.0,5.0,1042.0,No,6970.0
2022-08-09,South America,ERP,Partner,Business,5757.0,9.0,716.0,No,51813.0
2022-08-10,Asia,Database,Online,Business,2612.0,14.0,569.0,No,36568.0
2022-08-11,South America,Antivirus,Direct Sales,Business,8034.0,18.0,1816.0,No,144612.0
2022-08-12,Australia,Database,Direct Sales,Consumer,795.0,8.0,518.0,Yes,6360.0
2022-08-13,North America,CRM,Partner,Business,6921.0,2.0,592.0,No,13842.0
2022-08-14,North America,Database,Direct Sales,Consumer,1832.0,9.0,1708.0,Yes,16488.0
2022-08-15,Australia,DevTools,Online,Consumer,6004.0,7.0,923.0,No,42028.0
2022-08-16,Australia,Database,Partner,Consumer,8373.0,18.0,1584.0,Yes,150714.0
2022-08-17,Asia,Antivirus,Partner,Business,7575.0,16.0,719.0,Yes,121200.0
2022-08-18,North America,Antivirus,Direct Sales,Consumer,7554.0,5.0,856.0,Yes,37770.0
2022-08-19,South America,Database,Direct Sales,Consumer,5227.0,15.0,1359.0,No,78405.0
2022-08-20,Europe,Antivirus,Direct Sales,Business,8918.0,5.0,1983.0,No,44590.0
2022-08-21,Europe,Antivirus,Partner,Consumer,5922.0,11.0,610.0,No,65142.0
2022-08-22,Australia,Database,Direct Sales,Consumer,9183.0,14.0,1101.0,No,128562.0
2022-08-23,Asia,ERP,Online,Consumer,5511.0,19.0,565.0,No,104709.0
2022-08-24,Europe,ERP,Direct Sales,Business,5109.0,3.0,799.0,Yes,15327.0
2022-08-25,North America,CRM,Direct Sales,Consumer,2301.0,10.0,1861.0,Yes,23010.0
2022-08-26,Australia,Antivirus,Partner,Business,5493.0,6.0,645.0,Yes,32958.0
2022-08-27,South America,Database,Direct Sales,Business,1492.0,3.0,1785.0,No,4476.0
2022-08-28,Australia,Antivirus,Partner,Consumer,8710.0,2.0,767.0,Yes,17420.0
2022-08-29,South America,DevTools,Direct Sales,Consumer,6791.0,13.0,1793.0,No,88283.0
2022-08-30,Australia,Antivirus,Online,Consumer,9937.0,18.0,1307.0,Yes,178866.0
2022-08-31,Australia,Antivirus,Online,Consumer,1012.0,2.0,1817.0,No,2024.0
2022-09-01,Australia,ERP,Partner,Business,2483.0,15.0,728.0,Yes,37245.0
2022-09-02,South America,Database,Partner,Business,8784.0,5.0,1643.0,No,43920.0
2022-09-03,South America,Antivirus,Direct Sales,Consumer,4013.0,15.0,1521.0,Yes,60195.0
2022-09-04,Australia,ERP,Direct Sales,Business,4716.0,17.0,1314.0,Yes,80172.0
2022-09-05,Europe,CRM,Online,Consumer,8620.0,2.0,1716.0,Yes,17240.0
2022-09-06,Asia,ERP,Direct Sales,Consumer,5266.0,18.0,1472.0,No,94788.0
2022-09-07,Asia,ERP,Online,Consumer,2015.0,15.0,1816.0,Yes,30225.0
2022-09-08,Asia,ERP,Partner,Consumer,8931.0,3.0,1072.0,Yes,26793.0
2022-09-09,South America,Antivirus,Direct Sales,Business,408.0,5.0,1385.0,Yes,2040.0
2022-09-10,South America,Antivirus,Partner,Business,8964.0,11.0,1806.0,No,98604.0
2022-09-11,Europe,CRM,Direct Sales,Consumer,600.0,9.0,822.0,Yes,5400.0
2022-09-12,Asia,DevTools,Online,Consumer,6692.0,5.0,1229.0,No,33460.0
2022-09-13,Asia,DevTools,Partner,Business,810.0,1.0,1941.0,Yes,810.0
2022-09-14,Australia,DevTools,Partner,Business,7092.0,14.0,1210.0,Yes,99288.0
2022-09-15,South America,CRM,Direct Sales,Business,436.0,5.0,879.0,No,2180.0
2022-09-16,Asia,DevTools,Partner,Consumer,8440.0,8.0,1027.0,No,67520.0
2022-09-17,Europe,DevTools,Online,Business,4713.0,14.0,1828.0,Yes,65982.0
2022-09-18,Europe,ERP,Partner,Consumer,1025.0,16.0,1932.0,No,16400.0
2022-09-19,Asia,Antivirus,Partner,Consumer,7098.0,6.0,1925.0,No,42588.0
2022-09-20,South America,Antivirus,Direct Sales,Business,4944.0,8.0,1548.0,No,39552.0
2022-09-21,Europe,ERP,Partner,Consumer,1990.0,2.0,1264.0,Yes,3980.0
2022-09-22,Australia,ERP,Direct Sales,Business,255.0,19.0,774.0,Yes,4845.0
2022-09-23,Europe,ERP,Direct Sales,Consumer,4238.0,9.0,685.0,Yes,38142.0
2022-09-24,North America,Antivirus,Partner,Consumer,948.0,5.0,590.0,No,4740.0
2022-09-25,North America,DevTools,Online,Consumer,1032.0,5.0,527.0,No,5160.0
2022-09-26,South America,ERP,Direct Sales,Consumer,2747.0,19.0,1817.0,No,52193.0
2022-09-27,Asia,CRM,Partner,Consumer,6342.0,4.0,1714.0,No,25368.0
2022-09-28,South America,ERP,Direct Sales,Consumer,5346.0,16.0,1352.0,Yes,85536.0
2022-09-29,South America,Database,Online,Business,783.0,16.0,1998.0,No,12528.0
2022-09-30,South America,ERP,Online,Business,9687.0,16.0,1930.0,Yes,154992.0
2022-10-01,South America,Antivirus,Direct Sales,Consumer,8883.0,7.0,1483.0,No,62181.0
2022-10-02,Australia,ERP,Online,Business,2666.0,18.0,1197.0,Yes,47988.0
2022-10-03,Australia,Database,Partner,Consumer,1311.0,1.0,728.0,Yes,1311.0
2022-10-04,Europe,CRM,Partner,Business,9430.0,3.0,1273.0,No,28290.0
2022-10-05,North America,DevTools,Direct Sales,Business,4665.0,8.0,737.0,No,37320.0
2022-10-06,South America,ERP,Online,Consumer,3181.0,1.0,1098.0,No,3181.0
2022-10-07,Europe,Database,Partner,Business,4955.0,7.0,1914.0,Yes,34685.0
2022-10-08,North America,Database,Partner,Consumer,7750.0,7.0,1013.0,No,54250.0
2022-10-09,Asia,CRM,Partner,Business,1767.0,8.0,729.0,Yes,14136.0
2022-10-10,Australia,Antivirus,Direct Sales,Consumer,7698.0,19.0,1374.0,No,146262.0
2022-10-11,North America,ERP,Direct Sales,Business,7520.0,17.0,1404.0,Yes,127840.0
2022-10-12,Asia,Database,Partner,Consumer,5440.0,11.0,791.0,No,59840.0
2022-10-13,North America,CRM,Partner,Business,8672.0,15.0,795.0,Yes,130080.0
2022-10-14,Australia,DevTools,Online,Consumer,1408.0,9.0,1984.0,Yes,12672.0
2022-10-15,Australia,Database,Online,Business,5995.0,17.0,865.0,Yes,101915.0
2022-10-16,Europe,CRM,Online,Consumer,4548.0,11.0,1757.0,No,50028.0
2022-10-17,South America,Antivirus,Direct Sales,Business,4281.0,6.0,1205.0,Yes,25686.0
2022-10-18,North America,Antivirus,Partner,Consumer,2600.0,9.0,1152.0,No,23400.0
2022-10-19,North America,Database,Direct Sales,Business,3786.0,18.0,942.0,Yes,68148.0
2022-10-20,Asia,Database,Partner,Consumer,1171.0,2.0,1661.0,No,2342.0
2022-10-21,Australia,ERP,Online,Consumer,2591.0,4.0,1821.0,No,10364.0
2022-10-22,North America,CRM,Online,Consumer,2792.0,18.0,892.0,Yes,50256.0
2022-10-23,Australia,Database,Online,Consumer,7235.0,1.0,643.0,Yes,7235.0
2022-10-24,North America,ERP,Online,Business,581.0,11.0,705.0,No,6391.0
2022-10-25,Europe,ERP,Partner,Business,6547.0,3.0,1689.0,Yes,19641.0
2022-10-26,South America,Database,Online,Business,2292.0,8.0,1154.0,No,18336.0
2022-10-27,North America,Antivirus,Partner,Consumer,910.0,5.0,698.0,No,4550.0
2022-10-28,Australia,CRM,Partner,Consumer,3078.0,5.0,1010.0,No,15390.0
2022-10-29,Europe,CRM,Direct Sales,Consumer,2322.0,11.0,1271.0,No,25542.0
2022-10-30,North America,Antivirus,Online,Consumer,5565.0,12.0,1778.0,No,66780.0
2022-10-31,Asia,Database,Online,Consumer,3638.0,9.0,1463.0,No,32742.0
2022-11-01,South America,CRM,Direct Sales,Business,9663.0,13.0,764.0,No,125619.0
2022-11-02,North America,Database,Partner,Business,9639.0,3.0,738.0,No,28917.0
2022-11-03,Europe,Database,Online,Business,4493.0,13.0,1119.0,No,58409.0
2022-11-04,Asia,ERP,Partner,Consumer,7971.0,11.0,613.0,Yes,87681.0
2022-11-05,Europe,Antivirus,Direct Sales,Consumer,231.0,11.0,1633.0,No,2541.0
2022-11-06,Europe,Database,Partner,Consumer,5523.0,7.0,1102.0,No,38661.0
2022-11-07,Asia,DevTools,Online,Consumer,7459.0,17.0,1015.0,No,126803.0
2022-11-08,Europe,Antivirus,Partner,Consumer,2248.0,16.0,1264.0,Yes,35968.0
2022-11-09,Asia,CRM,Partner,Consumer,706.0,14.0,1563.0,Yes,9884.0
2022-11-10,North America,ERP,Online,Consumer,1644.0,1.0,1354.0,Yes,1644.0
2022-11-11,Asia,CRM,Online,Business,4474.0,11.0,1704.0,Yes,49214.0
2022-11-12,Asia,CRM,Partner,Business,5113.0,13.0,1444.0,Yes,66469.0
2022-11-13,South America,Antivirus,Partner,Consumer,3871.0,1.0,1682.0,Yes,3871.0
2022-11-14,Asia,CRM,Direct Sales,Consumer,4456.0,2.0,1545.0,No,8912.0
2022-11-15,Asia,Database,Online,Consumer,4755.0,9.0,790.0,Yes,42795.0
2022-11-16,North America,CRM,Partner,Business,7717.0,13.0,579.0,Yes,100321.0
2022-11-17,South America,ERP,Online,Business,1142.0,5.0,1855.0,Yes,5710.0
2022-11-18,Australia,ERP,Direct Sales,Consumer,7713.0,9.0,1918.0,Yes,69417.0
2022-11-19,North America,DevTools,Partner,Business,6917.0,13.0,1590.0,Yes,89921.0
2022-11-20,North America,ERP,Partner,Business,7442.0,5.0,1586.0,No,37210.0
2022-11-21,Australia,CRM,Partner,Business,7371.0,15.0,905.0,No,110565.0
2022-11-22,Asia,ERP,Online,Consumer,4759.0,7.0,1314.0,Yes,33313.0
2022-11-23,Europe,Antivirus,Direct Sales,Business,2193.0,14.0,1988.0,No,30702.0
2022-11-24,South America,ERP,Online,Business,5413.0,16.0,1784.0,Yes,86608.0
2022-11-25,Europe,Database,Partner,Consumer,9584.0,6.0,957.0,No,57504.0
2022-11-26,Australia,Antivirus,Direct Sales,Consumer,5926.0,2.0,952.0,No,11852.0
2022-11-27,North America,DevTools,Partner,Business,209.0,16.0,1225.0,Yes,3344.0
2022-11-28,North America,Database,Partner,Consumer,691.0,19.0,1107.0,Yes,13129.0
2022-11-29,South America,CRM,Online,Business,9929.0,5.0,1057.0,Yes,49645.0
2022-11-30,North America,CRM,Partner,Business,812.0,4.0,1440.0,No,3248.0
2022-12-01,North America,CRM,Direct Sales,Consumer,556.0,14.0,517.0,No,7784.0
2022-12-02,South America,Database,Partner,Consumer,3595.0,6.0,1645.0,Yes,21570.0
2022-12-03,South America,Database,Partner,Business,9696.0,8.0,1610.0,Yes,77568.0
2022-12-04,Australia,Database,Online,Consumer,3255.0,3.0,1745.0,No,9765.0
2022-12-05,North America,Antivirus,Direct Sales,Consumer,4158.0,4.0,1762.0,Yes,16632.0
2022-12-06,North America,Antivirus,Online,Business,6377.0,1.0,1350.0,No,6377.0
2022-12-07,Australia,CRM,Partner,Business,339.0,2.0,1670.0,No,678.0
2022-12-08,Asia,ERP,Online,Business,8988.0,13.0,1239.0,Yes,116844.0
2022-12-09,Asia,CRM,Online,Business,5242.0,9.0,1927.0,No,47178.0
2022-12-10,Asia,DevTools,Online,Business,4721.0,12.0,786.0,No,56652.0
2022-12-11,Australia,Antivirus,Online,Business,8621.0,10.0,1873.0,No,86210.0
2022-12-12,North America,Database,Partner,Consumer,9535.0,10.0,888.0,No,95350.0
2022-12-13,Australia,Antivirus,Partner,Consumer,4292.0,18.0,654.0,Yes,77256.0
2022-12-14,Australia,Database,Direct Sales,Business,1807.0,12.0,1159.0,No,21684.0
2022-12-15,Asia,DevTools,Online,Consumer,8176.0,16.0,1422.0,Yes,130816.0
2022-12-16,Europe,DevTools,Online,Consumer,4092.0,6.0,846.0,No,24552.0
2022-12-17,North America,Antivirus,Direct Sales,Business,9362.0,10.0,1334.0,Yes,93620.0
2022-12-18,Asia,Database,Online,Consumer,9504.0,15.0,1712.0,No,142560.0
2022-12-19,Europe,DevTools,Direct Sales,Consumer,1237.0,9.0,886.0,No,11133.0
2022-12-20,Europe,CRM,Partner,Business,9570.0,2.0,1370.0,Yes,19140.0
2022-12-21,South America,CRM,Direct Sales,Consumer,3746.0,18.0,1009.0,No,67428.0
2022-12-22,North America,Database,Online,Consumer,6498.0,12.0,1295.0,Yes,77976.0
2022-12-23,Europe,Antivirus,Direct Sales,Business,444.0,3.0,1500.0,No,1332.0
2022-12-24,Asia,DevTools,Partner,Consumer,8900.0,7.0,1026.0,Yes,62300.0
2022-12-25,South America,Antivirus,Online,Consumer,6452.0,9.0,1992.0,Yes,58068.0
2022-12-26,North America,CRM,Partner,Consumer,6471.0,8.0,1346.0,No,51768.0
2022-12-27,Australia,DevTools,Partner,Business,9032.0,6.0,1737.0,No,54192.0
2022-12-28,Asia,Antivirus,Direct Sales,Business,5133.0,1.0,1588.0,No,5133.0
2022-12-29,Europe,ERP,Partner,Consumer,4164.0,14.0,1779.0,No,58296.0
2022-12-30,Europe,Database,Online,Consumer,8675.0,16.0,761.0,No,138800.0
2022-12-31,Asia,Database,Partner,Business,7450.0,16.0,834.0,No,119200.0
2022-01-01,Europe,ERP,Partner,Business,9495.0,4.0,1231.0,No,37980.0
2022-01-02,South America,CRM,Direct Sales,Consumer,9407.0,6.0,1778.0,No,56442.0
2022-01-03,North America,DevTools,Partner,Business,3885.0,15.0,796.0,No,58275.0
2022-01-04,South America,Database,Direct Sales,Consumer,4525.0,8.0,1957.0,Yes,36200.0
2022-01-05,Europe,ERP,Direct Sales,Consumer,2634.0,1.0,691.0,Yes,2634.0
2022-01-06,Australia,ERP,Online,Business,6640.0,13.0,763.0,Yes,86320.0
2022-01-07,North America,CRM,Online,Business,3709.0,18.0,751.0,No,66762.0
2022-01-08,North America,CRM,Online,Consumer,7882.0,18.0,1379.0,Yes,141876.0
2022-01-09,Asia,Antivirus,Online,Consumer,1303.0,13.0,1876.0,No,16939.0
2022-01-10,Asia,Database,Direct Sales,Business,1252.0,14.0,883.0,No,17528.0
2022-01-11,Australia,Antivirus,Partner,Consumer,2124.0,11.0,1330.0,No,23364.0
2022-01-12,North America,ERP,Online,Business,934.0,7.0,764.0,No,6538.0
2022-01-13,Australia,DevTools,Online,Business,6238.0,18.0,1447.0,Yes,112284.0
2022-01-14,Asia,DevTools,Online,Business,1559.0,4.0,685.0,Yes,6236.0
2022-01-15,Asia,CRM,Partner,Business,1684.0,17.0,1237.0,Yes,28628.0
2022-01-16,North America,DevTools,Online,Business,241.0,19.0,1483.0,No,4579.0
2022-01-17,South America,DevTools,Partner,Consumer,7843.0,14.0,1369.0,No,109802.0
2022-01-18,Europe,DevTools,Direct Sales,Business,8142.0,10.0,710.0,Yes,81420.0
2022-01-19,Asia,ERP,Direct Sales,Business,1704.0,6.0,742.0,No,10224.0
2022-01-20,Asia,DevTools,Direct Sales,Business,7421.0,18.0,1507.0,Yes,133578.0
2022-01-21,South America,DevTools,Partner,Business,4392.0,4.0,1713.0,Yes,17568.0
2022-01-22,South America,DevTools,Online,Business,2472.0,11.0,1862.0,Yes,27192.0
2022-01-23,Australia,Antivirus,Online,Business,6252.0,13.0,1720.0,No,81276.0
2022-01-24,Australia,ERP,Online,Business,1867.0,8.0,1961.0,Yes,14936.0
2022-01-25,Europe,CRM,Online,Consumer,7593.0,10.0,1112.0,No,75930.0
2022-01-26,Europe,Antivirus,Online,Consumer,571.0,11.0,997.0,Yes,6281.0
2022-01-27,North America,Database,Partner,Consumer,9595.0,3.0,542.0,No,28785.0
2022-01-28,Australia,ERP,Direct Sales,Consumer,812.0,15.0,1175.0,No,12180.0
2022-01-29,Asia,ERP,Online,Business,5837.0,8.0,1477.0,Yes,46696.0
2022-01-30,Australia,Database,Direct Sales,Consumer,9032.0,18.0,1723.0,No,162576.0
2022-01-31,Asia,Database,Partner,Business,218.0,1.0,901.0,No,218.0
2022-02-01,South America,Database,Partner,Consumer,5035.0,8.0,1270.0,No,40280.0
2022-02-02,Australia,CRM,Online,Consumer,3565.0,3.0,1493.0,Yes,10695.0
2022-02-03,South America,DevTools,Partner,Business,5845.0,1.0,1327.0,No,5845.0
2022-02-04,Europe,ERP,Direct Sales,Business,2332.0,16.0,911.0,Yes,37312.0
2022-02-05,Europe,DevTools,Online,Consumer,743.0,9.0,1694.0,Yes,6687.0
2022-02-06,North America,DevTools,Online,Consumer,6297.0,17.0,760.0,No,107049.0
2022-02-07,Australia,Database,Direct Sales,Consumer,4227.0,16.0,1857.0,Yes,67632.0
2022-02-08,South America,CRM,Online,Consumer,6263.0,6.0,1929.0,Yes,37578.0
2022-02-09,Asia,Antivirus,Online,Business,2184.0,7.0,1048.0,Yes,15288.0
2022-02-10,Europe,CRM,Direct Sales,Consumer,3454.0,16.0,1064.0,Yes,55264.0
2022-02-11,Europe,DevTools,Online,Consumer,5661.0,8.0,1615.0,Yes,45288.0
2022-02-12,Asia,CRM,Online,Consumer,5972.0,10.0,1184.0,No,59720.0
2022-02-13,South America,Database,Direct Sales,Consumer,3786.0,14.0,543.0,No,53004.0
2022-02-14,South America,Antivirus,Partner,Consumer,2873.0,11.0,1880.0,Yes,31603.0
2022-02-15,Australia,Database,Direct Sales,Business,2810.0,2.0,1146.0,Yes,5620.0
2022-02-16,Australia,Antivirus,Online,Business,1830.0,12.0,805.0,No,21960.0
2022-02-17,North America,DevTools,Direct Sales,Business,3322.0,13.0,1333.0,No,43186.0
2022-02-18,Europe,Antivirus,Online,Business,2074.0,15.0,828.0,No,31110.0
2022-02-19,Australia,Antivirus,Online,Business,6375.0,12.0,809.0,Yes,76500.0
2022-02-20,South America,Antivirus,Direct Sales,Consumer,5734.0,13.0,1319.0,Yes,74542.0
2022-02-21,Asia,CRM,Online,Business,3888.0,8.0,1087.0,No,31104.0
2022-02-22,South America,CRM,Partner,Business,3326.0,16.0,1359.0,Yes,53216.0
2022-02-23,Europe,DevTools,Online,Consumer,2452.0,3.0,1995.0,No,7356.0
2022-02-24,South America,Antivirus,Direct Sales,Business,5401.0,13.0,1789.0,No,70213.0
2022-02-25,North America,ERP,Partner,Business,9197.0,12.0,512.0,Yes,110364.0
2022-02-26,Europe,DevTools,Partner,Business,6888.0,19.0,576.0,No,130872.0
2022-02-27,Asia,Antivirus,Online,Business,7470.0,2.0,1415.0,No,14940.0
2022-02-28,North America,Antivirus,Direct Sales,Consumer,8360.0,1.0,1439.0,No,8360.0
2022-03-01,Europe,CRM,Online,Consumer,3581.0,8.0,1817.0,No,28648.0
2022-03-02,Asia,DevTools,Online,Business,722.0,9.0,1444.0,No,6498.0
2022-03-03,North America,Antivirus,Direct Sales,Consumer,6263.0,8.0,842.0,Yes,50104.0
2022-03-04,North America,Antivirus,Direct Sales,Business,1968.0,17.0,1203.0,No,33456.0
2022-03-05,Europe,DevTools,Online,Consumer,5734.0,9.0,1713.0,Yes,51606.0
2022-03-06,Australia,ERP,Partner,Consumer,7421.0,6.0,1884.0,Yes,44526.0
2022-03-07,North America,DevTools,Online,Consumer,7858.0,15.0,855.0,No,117870.0
2022-03-08,North America,DevTools,Partner,Consumer,3088.0,13.0,1309.0,No,40144.0
2022-03-09,Asia,ERP,Online,Consumer,5173.0,12.0,738.0,No,62076.0
2022-03-10,South America,DevTools,Direct Sales,Consumer,6248.0,13.0,1245.0,Yes,81224.0
2022-03-11,Europe,Antivirus,Partner,Consumer,8213.0,7.0,635.0,Yes,57491.0
2022-03-12,Europe,DevTools,Direct Sales,Consumer,7638.0,18.0,1913.0,Yes,137484.0
2022-03-13,Australia,ERP,Direct Sales,Consumer,9881.0,14.0,1457.0,No,138334.0
2022-03-14,Australia,Database,Direct Sales,Consumer,180.0,11.0,1781.0,No,1980.0
2022-03-15,Europe,DevTools,Direct Sales,Consumer,4431.0,14.0,1997.0,No,62034.0
2022-03-16,Australia,CRM,Direct Sales,Business,2635.0,17.0,774.0,No,44795.0
2022-03-17,Asia,Antivirus,Online,Consumer,1287.0,2.0,1541.0,No,2574.0
2022-03-18,Europe,Antivirus,Partner,Business,9124.0,19.0,1830.0,Yes,173356.0
2022-03-19,Australia,CRM,Online,Consumer,9980.0,16.0,1364.0,Yes,159680.0
2022-03-20,Europe,CRM,Online,Business,1888.0,10.0,1460.0,Yes,18880.0
2022-03-21,South America,DevTools,Online,Business,480.0,8.0,1112.0,No,3840.0
2022-03-22,North America,CRM,Direct Sales,Business,2823.0,5.0,1512.0,No,14115.0
